"Season","Team","Bat","BsR","Fld","Pos","Off","Def","Lg","Rep","RAR","WAR"
"2015","Blue Jays","18.2","2.4","-9.3","-11.4","20.6","-20.7","3.6","29.9","33.3","3.5"
"2010","Phillies","9.0","-2.3","-8.2","-8.7","6.7","-17.0","0.5","24.7","14.9","1.5"
"2017","Athletics","16.7","-1.5","-14.6","-10.8","15.2","-25.3","2.8","26.4","19.1","1.9"
"2019","Braves","13.8","9.3","8.0","-7.1","23.1","1.0","1.4","43.5","68.9","6.7"
"2018","Braves","15.4","4.4","-7.5","-6.5","19.8","-14.0","1.8","32.7","40.3","4.2"
"2014","Indians","19.3","3.2","-1.0","-11.3","22.5","-12.3","3.4","29.0","42.6","4.7"
"2019","Cubs","8.2","-2.7","-0.9","-6.5","5.6","-7.4","0.7","23.4","22.2","2.2"
"2013","Cardinals","16.7","0.2","-5.5","-7.8","16.9","-13.4","1.3","25.7","30.5","3.3"
"2016","White Sox","11.0","-3.1","-2.1","-8.0","7.9","-10.2","3.0","21.2","22.0","2.2"
"2018","Rays","15.2","-0.3","2.1","-7.6","14.9","-5.5","2.5","23.2","35.1","3.6"
"2018","Twins","15.0","3.4","1.4","-14.6","18.4","-13.2","3.5","33.2","41.9","4.3"
"2017","Yankees","13.0","9.9","12.4","-8.5","22.9","3.9","4.0","37.9","68.6","6.8"
"2012","Diamondbacks","6.3","-3.9","1.0","-7.9","2.4","-6.8","0.8","32.3","28.7","3.0"
"2011","Nationals","18.9","0.0","-17.9","-14.0","18.9","-31.9","2.2","49.5","38.6","4.1"
"2011","Athletics","11.7","-3.1","-11.0","-10.3","8.6","-21.3","3.6","26.1","17.0","1.8"
"2015","Tigers","11.0","6.0","2.5","-9.5","17.0","-7.0","3.5","29.4","42.9","4.6"
"2014","Pirates","19.0","5.9","-3.3","-9.5","24.9","-12.8","2.3","32.2","46.6","5.1"
"2011","Yankees","5.2","9.4","28.4","-9.5","14.6","18.9","3.3","23.9","60.7","6.4"
"2015","Indians","14.3","-1.8","-10.7","-15.8","12.5","-26.6","5.0","41.7","32.6","3.5"
"2012","Giants","18.5","8.5","6.7","-10.0","27.0","-3.3","0.8","32.1","56.6","5.9"
"2013","Brewers","6.7","2.4","2.4","-7.9","9.1","-5.5","1.3","25.9","30.8","3.3"
"2013","Pirates","17.0","6.6","0.6","-9.5","23.6","-8.9","1.5","29.8","46.0","5.0"
"2018","Pirates","9.7","-4.9","9.1","-7.7","4.8","1.4","1.4","25.9","33.5","3.5"
"2016","Cardinals","11.3","-1.1","-11.8","-12.4","10.3","-24.2","1.2","39.7","27.0","2.8"
"2013","Mariners","10.3","-3.2","-12.3","-9.3","7.1","-21.7","2.8","20.9","9.2","1.0"
"2013","Braves","16.5","3.5","-3.4","-7.5","20.1","-10.8","1.8","36.9","47.9","5.2"
"2019","Brewers","3.0","2.5","3.8","-8.4","5.5","-4.6","1.0","32.9","34.9","3.4"
"2018","Indians","5.0","4.1","3.7","-8.3","9.1","-4.6","2.7","25.3","32.5","3.3"
"2015","Royals","11.0","8.1","11.7","-10.0","19.1","1.7","4.1","34.1","58.9","6.3"
"2015","Giants","15.1","0.6","-4.2","-7.5","15.7","-11.7","1.7","28.8","34.5","3.7"
"2019","Rockies","-20.0","-1.2","-14.2","-6.7","-21.2","-21.0","1.3","42.3","1.4","0.1"
"2015","Rays","18.7","-4.6","2.9","-17.7","14.0","-14.8","4.6","39.0","42.9","4.5"
"2019","Pirates","6.0","4.5","-12.8","-7.9","10.5","-20.7","1.0","32.7","23.5","2.3"
"2015","Dodgers","19.1","-1.6","1.8","-12.6","17.5","-10.8","2.2","37.8","46.7","5.0"
"2018","Athletics","16.1","0.2","5.6","-8.5","16.3","-2.9","3.7","35.0","52.2","5.4"
"2015","Padres","9.9","3.7","0.7","-6.9","13.6","-6.2","1.2","20.2","28.8","3.1"
"2018","Blue Jays","12.1","-4.4","-21.8","-15.8","7.7","-37.5","3.9","36.6","10.6","1.1"
"2019","Cardinals","4.7","1.7","4.1","-7.0","6.3","-2.9","0.7","22.0","26.1","2.5"
"2016","Red Sox","1.3","5.2","-7.9","-7.3","6.5","-15.1","3.5","24.8","19.6","2.0"
"2017","Indians","0.4","4.3","-6.0","-10.7","4.7","-16.7","3.8","36.1","27.9","2.8"
"2016","Diamondbacks","-3.7","-7.1","-17.6","-11.9","-10.9","-29.5","1.4","45.3","6.3","0.6"
"2016","Athletics","9.7","-3.7","-4.1","-13.0","6.0","-17.1","4.5","31.5","24.9","2.5"
"2014","Yankees","8.2","6.8","5.1","-6.9","15.0","-1.8","2.5","21.2","36.9","4.0"
"2010","Yankees","-0.2","11.6","20.4","-13.1","11.4","7.3","6.4","33.6","58.7","6.1"
"2010","Reds","-1.4","5.6","-4.4","-9.1","4.2","-13.5","0.7","30.9","22.2","2.3"
